id,abbrev,state,capital,latitude,longitude,population,motto
1,AL,Alabama,Montgomery,32.38012,-86.300629,205764,We dare defend our rights
2,AK,Alaska,Juneau,58.29974,-134.406794,31275,North to the future
3,AZ,Arizona,Phoenix,33.44826,-112.075774,1445632,God enriches
4,AR,Arkansas,Little Rock,34.748655,-92.274494,193524,The people rule
5,CA,California,Sacramento,38.579065,-121.491014,466488,I have found it
6,CO,Colorado,Denver,39.74001,-104.992259,600158,Nothing without providence
7,CT,Connecticut,Hartford,41.763325,-72.674069,124775,He who transplanted sustains
8,DE,Delaware,Dover,39.158035,-75.524734,36047,Liberty and independence
9,FL,Florida,Tallahassee,30.439775,-84.280649,181376,In God We Trust
10,GA,Georgia,Atlanta,33.748315,-84.391109,420003,Wisdom Justice Moderation
11,HI,Hawaii,Honolulu,21.30477,-157.857614,337256,The life of the land is perpetuated in righteousness
12,ID,Idaho,Boise,43.60698,-116.193409,205671,Let it be perpetual
13,IL,Illinois,Springfield,39.801055,-89.643604,116250,State sovereignty national unity
14,IN,Indiana,Indianapolis,39.76691,-86.149964,820445,The crossroads of America
15,IA,Iowa,Des Moines,41.58979,-93.615659,203433,Our liberties we prize and our rights we will maintain
16,KS,Kansas,Topeka,39.049285,-95.671184,127473,To the stars through difficulties
17,KY,Kentucky,Frankfort,38.19507,-84.878694,25527,Let us be grateful to God
18,LA,Louisiana,Baton Rouge,30.443345,-91.186994,229493,Union justice confidence
19,ME,Maine,Augusta,44.318036,-69.776218,19136,I lead
20,MD,Maryland,Annapolis,38.9767,-76.489934,38394,Manly deeds womanly words
21,MA,Massachusetts,Boston,42.358635,-71.056699,617594,By the sword we seek peace but peace only under liberty
22,MI,Michigan,Lansing,42.73194,-84.552249,114297,If you seek a pleasant peninsula look about you
23,MN,Minnesota,Saint Paul,44.943829,-93.093326,285068,The star of the North
24,MS,Mississippi,Jackson,32.29869,-90.180489,173514,By valor and arms
25,MO,Missouri,Jefferson City,38.577515,-92.177839,43079,Let the welfare of the people be the supreme law
26,MT,Montana,Helana,46.58976,-112.021202,28190,Gold and silver
27,NE,Nebraska,Lincoln,40.81362,-96.707739,258379,Equality before the law
28,NV,Nevada,Carson City,39.164885,-119.766999,55274,All For Our Country
29,NH,New Hampshire,Concord,43.20725,-71.536604,42695,Live Free or Die
30,NJ,New Jersey,Trenton,40.217875,-74.759404,84913,Liberty and prosperity
31,NM,New Mexico,Santa Fe,35.691543,-105.937406,67947,It grows as it goes
32,NY,New York,Albany,42.651445,-73.755254,97856,Ever upward
33,NC,North Carolina,Raleigh,35.78551,-78.642669,403892,To be rather than to seem
34,ND,North Dakota,Bismarck,46.805372,-100.779334,61272,One sows for the benefit of another age
35,OH,Ohio,Columbus,39.96196,-83.002984,787033,With God all things are possible
36,OK,Oklahoma,Oklahoma City,35.472015,-97.520354,579999,Labor conquers all things
37,OR,Oregon,Salem,44.93326,-123.043814,154637,She flies with her own wings
38,PA,Pennsylvania,Harrisburg,40.259865,-76.88223,49528,Virtue liberty and independence
39,RI,Rhode Island,Providence,41.823875,-71.411994,178042,Hope
40,SC,South Carolina,Columbia,33.99855,-81.045249,129272,While I breathe I hope Ready in soul and resource
41,SD,South Dakota,Pierre,44.368924,-100.350158,13646,Under God the people rule
42,TN,Tennessee,Nashville,36.167783,-86.778365,601222,Agriculture and Commerce
43,TX,Texas,Austin,30.267605,-97.742984,790390,Friendship
44,UT,Utah,Salt Lake City,40.759505,-111.888229,186440,Industry
45,VT,Vermont,Montpelier,44.260299,-72.576264,7855,Freedom and Unity - May the fourteenth star shine bright
46,VA,Virginia,Richmond,37.5407,-77.433654,204214,Thus always to tyrants
47,WA,Washington,Olympia,47.039231,-122.891366,46478,By and by
48,WV,West Virginia,Charleston,38.350195,-81.638989,51400,Mountaineers are always free
49,WI,Wisconsin,Madison,43.07295,-89.386694,233209,Forward
50,WY,Wyoming,Cheyenne,41.134815,-104.821544,59466,Equal Rights
